Cluster,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs
"High-Calorie, High-Fat / Noise (-1)",160.0952380952381,252.5952380952381,11.988095238095237,12.654761904761905,10.333333333333334,2.7273809523809525,27.241666666666667
Balanced Light (Cluster 0),101.5,162.1,9.6,8.3,7.2,0.25,16.4
Cluster 1,195.8,264.0,14.2,13.8,12.0,0.0,19.2
Cluster 2,104.71428571428571,298.14285714285717,26.428571428571427,43.714285714285715,36.714285714285715,16.714285714285715,19.0
Cluster 3,139.40689655172415,139.82758620689654,7.979310344827586,4.551724137931035,2.9586206896551723,2.649034482758621,23.83448275862069
Cluster 4,173.5,155.0,4.833333333333333,5.833333333333333,5.0,0.06666666666666667,22.0
