Cluster,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Count
0,143.6341463414634,188.95426829268294,7.25,7.115853658536586,5.115853658536586,0.9841768292682926,24.0375,328
1,112.0,113.0,114.0,115.0,116.0,117.0,118.0,2
2,230.0,231.0,232.0,233.0,234.0,235.0,236.0,1
