Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Cluster,PC1,PC2
"Wheat pancakes 4"" diam.",4,108,250.0,7,9,0.0,0.1,28.0,Breads cereals fastfoodgrains,0,-0.19779544890065562,-0.06784049046524343
"Pizza 14"" diam.",1 section,75,180.0,8,6,5.0,0.0,23.0,Breads cereals fastfoodgrains,0,-0.20007861276088826,-0.012557709943594564
Popcorn salted,2 cups,28,152.0,3,7,2.0,0.5,20.0,Breads cereals fastfoodgrains,0,0.3998470989837579,0.4418840402950023
Puffed rice,1 cup,14,55.0,0,0,0.0,0.0,12.0,Breads cereals fastfoodgrains,2,0.10452394178838101,0.6293153807931172
Puffed wheat presweetened,1 cup,28,105.0,1,0,0.0,0.6,26.0,Breads cereals fastfoodgrains,2,0.7109941798800837,0.30648735274900185
Rice,1 cup,208,748.0,15,3,0.0,1.2,154.0,Breads cereals fastfoodgrains,2,0.7005856650897783,0.27395843386340757
Converted,1 cup,187,677.0,14,0,0.0,0.4,142.0,Breads cereals fastfoodgrains,2,0.6780880906053163,0.3543747559760685
White,1 cup,191,692.0,14,0,0.0,0.3,150.0,Breads cereals fastfoodgrains,0,-0.062270333042878045,-0.13256815403972633
Rice flakes,1 cup,30,115.0,2,0,0.0,0.1,26.0,Breads cereals fastfoodgrains,0,-0.15954207209277557,-0.380910449409525
Rice polish,1/2 cup,50,132.0,6,6,0.0,1.2,28.0,Breads cereals fastfoodgrains,0,-0.11191526487916177,-0.18513987074056276
Rolls,1 large,50,411.0,3,12,11.0,0.1,23.0,Breads cereals fastfoodgrains,0,-0.14948177932037543,-0.29433528643345114
of refined flour,1,38,115.0,3,2,2.0,0.0,20.0,Breads cereals fastfoodgrains,0,-0.21119906248353934,-0.4507971987055762
whole-wheat,1,40,102.0,4,1,0.0,0.1,20.0,Breads cereals fastfoodgrains,0,-0.21119906248353934,-0.4507971987055762
Spaghetti with meat sauce,1 cup,250,285.0,13,10,6.0,0.5,35.0,Breads cereals fastfoodgrains,0,-0.20189492492129119,0.11632126582771862
with tomatoes and cheese,1 cup,250,210.0,6,5,3.0,0.5,36.0,Breads cereals fastfoodgrains,0,-0.19384669070337107,0.18558139620857772
Spanish rice,1 cup,250,217.0,4,4,0.0,1.2,40.0,Breads cereals fastfoodgrains,0,-0.20135271430978596,-0.028874360406008603
Shredded wheat biscuit,1,28,100.0,3,1,0.0,0.7,23.0,Breads cereals fastfoodgrains,0,-0.1924340034675021,0.08534219283088962
Waffles,1,75,240.0,8,9,1.0,0.1,30.0,Breads cereals fastfoodgrains,0,-0.21140087494580634,-0.43647731250876365
Wheat germ,1 cup,68,245.0,17,7,3.0,2.5,34.0,Breads cereals fastfoodgrains,0,-0.210662917940224,-0.4354789303759629
