Calories,Protein,Fat,Fiber,Carbs
3.0,3.0,3.0,-0.2966914493528828,0.6336491269315111
1.396614405875953,3.0,-0.8573891280584087,-0.2966914493528828,0.7450385136645622
-0.5021814342039244,0.05984064262977395,-0.3500673522498044,-0.2966914493528828,-0.3410080069826857
1.27437433033433,1.0431794296736487,1.1718979751760088,-0.2966914493528828,-0.03468719346679526
3.0,3.0,3.0,-0.12305532751794021,2.6108107414431676
2.659761853139391,2.588426095028309,1.983612816469776,-0.2966914493528828,0.38302300678214624
0.8261607200150458,3.0,-0.8573891280584087,-0.2966914493528828,0.4665650468319345
0.8261607200150458,3.0,-0.8573891280584087,-0.17266564804220952,0.4665650468319345
-0.192506576165146,-0.08063632694792246,0.15725442355879998,-0.2966914493528828,-0.39670270034921123
3.0,2.16699518629522,1.5777553958228923,-0.2966914493528828,1.2462907539632921
0.3779471096957614,-0.08063632694792246,0.25871877872052085,-0.2966914493528828,0.021007499899730272
-0.4940320958344827,1.3241333688290415,-0.45153170741152526,-0.17266564804220952,-0.3410080069826857
0.7039206444734227,0.05984064262977395,0.15725442355879998,-0.2966914493528828,0.410870353465409
0.7854140281678381,0.6217485209405595,0.5631118442056835,-0.2966914493528828,0.07670219326625581
0.907654103709461,-0.36159026610331524,0.968969264852567,-0.2966914493528828,0.10454953994951857
0.7039206444734227,0.05984064262977395,0.15725442355879998,-0.2966914493528828,0.18809157999930687
-0.15175988431793833,-0.642544205258708,0.6645761993674043,-0.2966914493528828,-0.5637867804487878
1.9670680917368606,-0.9234981444141008,3.0,-0.17266564804220952,-0.6194814738153134
0.41869380154296904,3.0,0.25871877872052085,-0.2966914493528828,-0.535939433765525
0.05197357491810002,3.0,-0.8573891280584087,-0.2966914493528828,-0.535939433765525
-0.9666937212620916,-0.642544205258708,-0.2486029970880835,-0.2966914493528828,-0.7030235138651016
0.30460306437078755,0.7622254905182558,1.0704336200142879,-0.2966914493528828,-0.6751761671818388
-0.681466878331638,-0.9234981444141008,0.25871877872052085,-0.2966914493528828,-0.6751761671818388
