Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Cluster,PC1,PC2
Milk chocolate,2-oz. bar,56,290.0,2,6,6.0,0.2,44.0,Desserts sweets,0,0.34610151181651033,1.5137253203510486
Chocolate syrup,2 T.,40,80.0,0,0,0.0,0.0,22.0,Desserts sweets,0,-0.9812227826080787,0.13019821281577
Doughnuts,1,33,135.0,2,7,4.0,0.0,17.0,Desserts sweets,0,-0.228361024151164,0.31451825215543966
Gelatin made with water,1 cup,239,155.0,4,0,0.0,0.0,36.0,Desserts sweets,0,-0.26552695542589855,0.4376160442918191
Honey,2 T.,42,120.0,0,0,0.0,0.0,30.0,Jams Jellies,0,-0.8216009015514766,0.4590624446885583
Ices,1 cup,150,117.0,0,0,0.0,0.0,48.0,Desserts sweets,0,-0.8420068766654069,0.7085723334896742
preserves,1 T.,20,55.0,0,0,0.0,0.0,14.0,Jams Jellies,0,-1.0796260818112473,-0.11956365890981524
Jellies,1 T.,20,50.0,0,0,0.0,0.0,13.0,Jams Jellies,0,-1.099578816943323,-0.16067168789391384
Cane Syrup,1 T.,20,50.0,0,0,0.0,0.0,13.0,Jams Jellies,0,-1.099578816943323,-0.16067168789391384
"9"" diam. pie",1 slice,135,330.0,3,13,11.0,0.1,53.0,Desserts sweets,0,0.9276264266512826,1.8987869042702834
Cherry Pie,1 slice,135,340.0,3,13,11.0,0.1,55.0,Desserts sweets,0,0.9675318969154332,1.9810029622384806
Custard,1 slice,130,265.0,7,11,10.0,0.0,34.0,Desserts sweets,0,0.9962307726436005,0.9484196872841231
Lemon meringue,1 slice,120,300.0,4,12,10.0,0.1,45.0,Desserts sweets,0,0.8673546745270376,1.5325832231008483
Mince,1 slice,135,340.0,3,9,8.0,0.7,62.0,Desserts sweets,0,0.7812493256577195,2.019189558595882
3 teaspoons sugar,1 T.,12,50.0,0,0,0.0,0.0,12.0,Desserts sweets,0,-1.0991253581242537,-0.1754122634956114
Syrup,2 T.,40,100.0,0,0,0.0,0.0,25.0,Jams Jellies,0,-0.9009583832607088,0.27988975315046655
table blends sugar,2 T.,40,110.0,0,0,0.0,0.0,29.0,Jams Jellies,0,-0.8619598306346964,0.39158696232205886
Tapioca cream pudding,1 cup,250,335.0,10,10,9.0,0.0,42.0,Desserts sweets,0,1.544803229128128,1.1981832695480026
coconut sweetened,1/2 cup,50,274.0,1,20,19.0,2.0,26.0,Seeds and Nuts,0,0.8173534881990135,1.470572394707715
Peanut butter,1/3 cup,50,300.0,12,25,17.0,0.9,9.0,Seeds and Nuts,2,2.3046891245280148,0.6280807698424253
Peanut butter natural,1/3 cup,50,284.0,13,24,10.0,0.9,8.0,Seeds and Nuts,2,2.298380503733491,0.4388899873555958
Peanuts,1/3 cup,50,290.0,13,25,16.0,1.2,9.0,Seeds and Nuts,2,2.3672105808399615,0.502149338010482
Beer,2 cups,480,228.0,0,0,0.0,0.0,8.0,DrinksAlcohol Beverages,0,-0.3708510181872394,0.7043067745110718
Gin,1 oz.,28,70.0,0,0,0.0,0.0,0.0,DrinksAlcohol Beverages,0,-1.0120590764908473,-0.2468293571863786
Wines,1/2 cup,120,164.0,0,0,0.0,0.0,9.0,DrinksAlcohol Beverages,0,-0.6325037595809558,0.3815439468180374
Table (12.2% alcohol),1/2 cup,120,100.0,0,0,0.0,0.0,5.0,DrinksAlcohol Beverages,0,-0.891889206879327,-0.01492175888348507
Carbonated drinks Artificially sweetened,12 oz.,346,0.0,0,0,0.0,0.0,0.0,DrinksAlcohol Beverages,0,-1.297745791806868,-0.615973704539992
Club soda,12 oz.,346,0.0,0,0,0.0,0.0,0.0,DrinksAlcohol Beverages,0,-1.297745791806868,-0.615973704539992
Cola drinks,12 oz.,346,137.0,0,0,0.0,0.0,38.0,DrinksAlcohol Beverages,0,-0.7558475126701388,0.6666363910023021
Fruit-flavored soda,12 oz.,346,161.0,0,0,0.0,0.0,42.0,DrinksAlcohol Beverages,0,-0.6597116169809224,0.8521624696446171
Ginger ale,12 oz.,346,105.0,0,0,0.0,0.0,28.0,DrinksAlcohol Beverages,0,-0.8819125657667716,0.3504789333379603
Root beer,12 oz.,346,140.0,0,0,0.0,0.0,35.0,DrinksAlcohol Beverages,0,-0.7422434198422448,0.6382351362266498
Coffee,1 cup,230,3.0,0,0,0.0,0.0,1.0,DrinksAlcohol Beverages,0,-1.2859555342552502,-0.5854126569088538
Tea,1 cup,230,4.0,0,0,0.0,0.0,1.0,DrinksAlcohol Beverages,0,-1.2818742954650215,-0.5801391662323736
